sample_index,goemotions_id,fine,ekman,sent,text_sha256,char_len
215,eebuozc,confusion,surprise,ambiguous,bca61e9bbfe96f28c35fadf035e1f032ca34eb914fb312da5efafc5ebfab52d9,47
216,eda4ma4,neutral,neutral,neutral,0a0278fd1ac7369dd417b4d938d20a9c277f8d6cbf9757f175dc7e49150cac6d,128
217,eekzq3k,disappointment,sadness,negative,65533f436728099d08722cbc4432e1872809c479e6b43bae375dc1dc3c1a46f8,70
218,edfmk6s,anger,anger,negative,32d10d10e7913a124ecbd91ed6897b3c29660f1be39a32889db33d05d7478030,117
219,ee6kqn7,neutral,neutral,neutral,fee77a166b2ef5d276797c0fe2359738e43448689b9c468b270ca852b5f6fcf6,80
220,eeks080,annoyance,anger,negative,9afe673ba712b9d654e0eff89af788bace0820b1f11697f087b3dd1f73e6dd59,51
221,efew04b,optimism,joy,positive,cdc6841b379e1056ec4dec171e4f3a98ecb4a294a27d2519d6722544df60aabe,80
222,eeszik9,annoyance,anger,negative,88ac82b1b232336e748f22206f84dd1de3c9700121524b4eb725fd03b0bc4921,55
223,ee7xtqd,neutral,neutral,neutral,e59b63da6f209f6c2d982e9c42aebf48ef9eb4dac4ae67e218c31a27ecef11ff,24
224,eda6f9a,approval,joy,positive,67e5a002e366f9a26c37acec5d952e067f3e8e5a21546f2314dd7ae923f1c897,77
225,eczm1a6,neutral,neutral,neutral,0afdf0774a05cbfe3f2ae3ce07a5f0c0d8ce431ac8c16c92068c5522b55e734b,37
226,ef25itc,neutral,neutral,neutral,b1fa1333bde1150d5f729a8fa0bcd3fb1db527c7fa635a73986e0fc76f14eb84,75
227,ee764ok,optimism,joy,positive,5c126ddfd9df25b41a7527c88ae54934cfbb565a8a8a4fdf0806c96cac4e03aa,81
228,edg1hf0,approval,joy,positive,0831241ad7538487ba5ead0e0bfa97af6ed7b4aa0b3dc0b6607e597db1e482af,89
229,efcsywh,neutral,neutral,neutral,e491e19ebe4ff42ca766c91960bf62dcdcf3edb10f9c4cf76f91490121e11a14,97
230,ed95u8m,approval,joy,positive,9011bba4c7bffabe15d92a04b4f5b1fcb379c319bfd8a18c92b21cc40fb03015,66
231,edhrs95,caring,joy,positive,c2a03ddc416d08da8463f720f75040ae72bfb858e9ab9a030537316dc34de5e8,105
232,eebxspf,curiosity,surprise,ambiguous,eac14c98d7b1fd25449c0591fbfb0ec94b11c340054b30280a862e16277daa2f,101
233,eebt0yo,annoyance,anger,negative,61bcb475ef6adbd9614295a4e54fcf5ce3fa111c735e995f7cd764955eaee17f,79
234,edv5i27,approval,joy,positive,288ce6392f67e06ba5f0ce5028b3af4caffdfe2d52a4f665c217a3ed0303f87d,78
235,ee3pa8o,surprise,surprise,ambiguous,3ee27cdcee61114d555e896c77aab22de627a59a627db610abf4b4ef2b874fd4,86
236,ed6f0es,amusement,joy,positive,b68dc532705a5b215c6357b4bd66b5f632f9d0b2fea1cad889b97bb0b20dfcd9,89
237,een7cjm,disgust,disgust,negative,6fb5df0e6fb66288d23656ff7d275df3774d15034bf6f80f090f6d4cb28c8f91,114
238,edokegg,anger,anger,negative,ede79ce35ca24448aa5a35bc4efd31a930f301ce94a41b17862efc34b4263c45,98
239,efeu9xi,caring,joy,positive,a14e7a4b434adb5eac64f3b3fc221ea0a9f5dd37ef95d988176bba4554b90ce2,96
240,edi7nx2,disgust,disgust,negative,ed2a2cca9cb59d0ba39dbe00f83c7a9938ac6fcf9faaf42e3ec7fee678a49871,47
241,eevg200,neutral,neutral,neutral,419e3a2a0cdd7d38211fdc74347568f12d409ffcf904bf181173f5e701882192,38
242,edbhns9,excitement,joy,positive,41071b81eeea1343b7ff4f64c4426f6796b16e4f15e3054a677f1fe2fcd806f6,22
243,eeam01f,realization,surprise,ambiguous,405beaed09a96900c4b2ba661787f136df9ef7352eec822a3bcb45ea33355ea8,89
244,eeuhwe8,neutral,neutral,neutral,e8113c00dc19bb0e9006fdb0520b4f72ca5db8f097d46eb48441593bf28a2137,92
245,edfiw7l,excitement,joy,positive,227776682b65f54d9b8719285b3caf6e0a26e12a701cdc23d433814214a2269d,38
246,ee052go,disapproval,anger,negative,5b6e1e2a19c572037a078f248637eb9fc5a70afbeeec67c30816a2195446ab37,19
247,efbrh00,disappointment,sadness,negative,96ede334bfaa4a78617facd4d5eab916d4e8cd81aaf2ee9bd76c9210bdd5ab26,33
248,ee0taaw,gratitude,joy,positive,8a394e8e3f1125d4641c5b492cf89668ce3a01187aacda0aa2b7aea92960119d,19
249,eddkv5t,gratitude,joy,positive,7bb47a934dfce40671b86cd3f620cbea882f9215140264e231753ffbd2ed27b7,16
250,eee253u,neutral,neutral,neutral,65e5615d5ec1578556ce91afd45b4cc2a9d7623f01cf161fb8b72f36d15745fa,78
251,eefpe1v,neutral,neutral,neutral,fba506fa0c557f8ed7573acef678d6207f70c07d367753ebbcd36e16d4f14de2,92
252,edfoypd,neutral,neutral,neutral,9e77ae89d183fecd30a9b11b297e84b16a130de5b78ea5ef32d011171480dc40,68
253,ee3jles,disgust,disgust,negative,09d6a9f8160b93decbe86e193874875e4b66c1efab0294a3b145610eca72c168,19
254,eer85ad,curiosity,surprise,ambiguous,59870076a96b2ee5a37d2868a2e3c4adff2d49210246de62b51cfbae964565bc,61
255,edmdodp,neutral,neutral,neutral,7632c73db495183803f45522f895a81206bdc982ade77487f6384498778cb475,142
256,eemibsh,neutral,neutral,neutral,ed0624129f63210e856974d5bf4cd749b2dba872fce212cf264e5a9528e7471e,97
257,ed47lpl,confusion,surprise,ambiguous,8c7d24bcd8900d8ea00ce8ef35ec4a83f0698aec3e9ab1b4d8196099b44e2cfd,81
258,ef6ytqx,neutral,neutral,neutral,c1c8df7bd979546bb9fabe16def4ee01ce8a48941f80b9dbc1848a092c4a721f,21
259,efflnhg,admiration,joy,positive,51f062a7493429c0f94546ed87b28402ec413dd813fc6dce88afecb62f500895,129
260,eda0l6x,disgust,disgust,negative,5700313d95973d8d9b2ac1f33a52150ac734c87abb697e44cbfd90942ae8e8e1,82
261,edup2m7,neutral,neutral,neutral,308044743c78c95910ff257452e03137a39086c1d1c8204007b43d6bb5ce4e1a,33
262,efh9yyp,neutral,neutral,neutral,53e036a94854cdd38993cce510d266f41ad4e6622a21937a13bc7d7d8ea88ba8,55
263,ee06bwr,neutral,neutral,neutral,1bc8fdfa289dfc4a037e2b65b2ea0134c65207479aca304c326290dec826d256,45
264,eere3ap,admiration,joy,positive,a49c403fecd56e8960ec8e772a1d1d846a28c6c1ab6a1986d825733dca6e1329,29
265,ef1eq85,fear,fear,negative,0603ecf59e8c7b34019be9183c9e084599e0d318c501591fdccf769cde2b4f33,63
266,efdimd9,disapproval,anger,negative,db3055590a75de8960e829c1bb14dafc7be90042e0733fe0a0d60c58bb275555,120
267,eeg14j5,fear,fear,negative,b05ab4995ba77c2127ee49c25eb0974d0818e34a1eef504149c9b9ee1a8960f6,91
268,eesqysc,optimism,joy,positive,6756d04635d12648f8a5ed00d51701b1af57f386c73001fe7009cc9181786c30,75
269,eelmuh7,neutral,neutral,neutral,cef9c7e71021d2ad5f8a3d84b61361a27913ebc5f02ef64fc402c7b1839b16ab,16
270,eeamz4s,disgust,disgust,negative,71c3648bf79d24139fbd4ed7e68d8bb70b7526478ddf8cc852568478cf451b21,135
271,eddgwuz,neutral,neutral,neutral,132e0de1336ddb4c9e304e776e81890fb8fef3697390475886bc04d3a70f8b03,53
272,efc9def,approval,joy,positive,9d0c2e7bfe015711690d7d0b27bdce8112eb2fc701f3afce5e7fe8083ae90323,38
273,eef48yd,nervousness,fear,negative,f324f79e188bdbec83abb5173610ff4e195f00175f5fce46b37c022e8254acd6,85
274,ee78wzy,neutral,neutral,neutral,778573522221b1d5f9bfcf07711183b4998d9baa538bd8f28a033f3136229752,65
275,edw5iqn,neutral,neutral,neutral,257645a5b6cc67a3ed4e50b789df6fb4df686914c43471ffdd4a5c18c89d0cb0,60
276,eehfwa0,disapproval,anger,negative,ac394d57c21d29ac9efde70dff86390f41c04f84d0d824c9584f2010a37a3f80,92
277,ee8let7,approval,joy,positive,42978c71c543dc6cf105d4361969cc6f58077346acf00d3c6ddb737868a3f46b,17
278,ee48sp2,remorse,sadness,negative,5d02bab562d0cff518671e98c5803b3bb4791466dcaca0a530f8a705479df026,119
279,ed0doqm,neutral,neutral,neutral,98c7f71766327ac7ad8a1d4329e38a0c99bfe70dbd1baca7118df36a9dd58133,86
280,eerrvod,curiosity,surprise,ambiguous,f34b50fe2b0eda573d9d822f08783205932241715189c01a62872922f576916e,42
281,edr0gyg,admiration,joy,positive,94e946c60f330c167b2ebf0ff5ac6c8ebbbedd906c11a42c09d23eba576a3e75,92
282,eduwbj8,confusion,surprise,ambiguous,afa7a7b0f67c2d07ed7206f97df255bbcc762de6aae190ae4686a0bf5a8beab1,46
283,edsuxt9,neutral,neutral,neutral,9e84a85ddf3ad37ae48999562a629b472e9b343a33134b0b93e036894fda62e5,19
284,edkts4d,fear,fear,negative,70d45cfd3284ab8022161f783ed6de3f6ce0ef5e59bc3916077e0ca68ec6ecc7,34
285,edo16o4,fear,fear,negative,7834ced3c53f32b685026d02ed4280931412c6026d5eeaf5b54e6a81b078e7c7,19
286,ee2r9s6,neutral,neutral,neutral,459a59f79a05380c627247c5c65e0d06d1eb1d4bfdfe47fea53bbedf13ab2b2a,90
287,efgtm33,neutral,neutral,neutral,1ac2785a3582ba0e46cf364696a103532a99154750be77d910d82c7ea94938fc,142
288,eetrfd1,surprise,surprise,ambiguous,478061e4d106fe8dc79ff5686c3a7589832713554da84134552293336d35474e,88
289,ed8p0oy,neutral,neutral,neutral,432a6b5482c38fc5bc8f58d87d8c1be670be42558084d2b81f9ae432a5bd0303,33
290,edpr4pz,neutral,neutral,neutral,0e003d381e06ed51c322817cd988309452e2c72ce3e2172d6f9b4c12b6ba9ebf,38
291,eef0mnk,desire,joy,positive,687fa9a8477342a5cfbae5610b6602d2d09d690643d9020e2a016cd42c222613,98
292,ee5s4hc,fear,fear,negative,1da13029120c54f179aa805c42fa589e65ed8bdb5805ee1031dfc80326adad24,32
293,ed6rxsh,neutral,neutral,neutral,8d93453456f9c8a96bef31bc08f352a482edf1c92098e37147b160e4150b4096,95
294,eeunelw,neutral,neutral,neutral,99e86119840393f33f4d922f029a7e6e81fd9b42cc61cf91854fde994c24d874,150
295,edrni6g,annoyance,anger,negative,64b679ccb6f9219b2937630f318547d69569794fd7f26f488b99132ce64ca719,131
296,edd0jx1,joy,joy,positive,8cf35ca70c81043822ea46a726c9c0327578709099998c74bc8515cde5ce067a,58
297,ed003qq,sadness,sadness,negative,e2ff9fc0a257c45aed6b25fd678fdc633ead4293070ebe296ec646c4ce974305,103
298,effp5yy,neutral,neutral,neutral,185b24a8be24b822e1e4eb93492564bb26599ca400a867ed148c140328d99361,62
299,edp5e4b,surprise,surprise,ambiguous,e33d74fe655efbbe0984d540c6f811197e2fe07019f8ed025649ab412d4473ce,72
300,efficjb,neutral,neutral,neutral,3ec7b5d44f5ccefa203b676f477221c86a8f05f09f2ac93e38cfbea33ed9ae02,66
