id,verdict,sentential,normative,referential,process,data,human,atomicity,completeness,self_sufficiency,atomicity_aggregate
327,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
328,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
329,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
330,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
331,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
332,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
333,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
334,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
335,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
336,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
337,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
338,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
339,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
340,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
341,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
342,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
343,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
344,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
345,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
346,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
347,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
348,No,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,No,
349,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
350,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
351,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
352,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
353,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
354,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
355,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
356,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
357,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
358,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
359,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
360,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
361,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
362,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
363,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
364,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
365,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
366,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
367,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
368,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
369,No,Complete,Y,Incomplete,Dependent,Independent,Independent,,Incomplete,No,
370,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
371,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
372,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
373,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
374,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
375,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
376,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
377,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
378,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
379,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
380,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
381,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
382,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
383,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
384,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
385,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
386,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
387,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
388,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
389,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
390,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
391,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
392,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
393,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
394,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
395,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
396,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
397,No,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,
398,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
399,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
400,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
401,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
402,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
403,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
404,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
405,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
406,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
407,No,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,
408,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
409,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
410,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
411,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
412,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
413,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
414,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
415,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
416,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
417,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
418,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
419,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
420,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
421,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
422,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
423,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
424,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
425,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
426,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
427,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
428,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
429,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
430,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
431,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
432,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
433,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
434,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
435,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
436,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
437,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
438,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
439,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
440,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
441,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
442,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
443,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
444,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
445,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
446,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
447,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
448,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
449,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
450,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
451,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
452,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
453,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
454,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
455,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
456,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
457,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
458,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
459,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
460,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
461,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
462,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
463,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
464,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
465,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
466,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
467,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
468,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
469,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
470,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
471,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
472,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
473,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
474,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
475,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
476,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
477,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
478,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
479,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
480,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
481,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
482,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
483,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
484,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
485,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
486,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
487,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
488,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
489,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
490,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
491,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
492,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
493,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
494,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
495,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
496,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
497,No,Complete,Y,Incomplete,Independent,Independent,Dependent,,Incomplete,No,
498,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
499,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
500,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
501,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
502,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
503,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
504,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
505,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
506,No,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,
507,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
508,No,Complete,Y,Complete,Independent,Dependent,Dependent,,Complete,No,
509,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
510,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
511,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
512,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
513,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
514,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
515,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
516,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
517,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
518,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
519,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
520,No,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,
521,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
522,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
523,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
524,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
525,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
526,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
527,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
528,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
529,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
530,No,Complete,Y,Incomplete,Dependent,Independent,Independent,,Incomplete,No,
531,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
532,No,Complete,Y,Incomplete,Dependent,Independent,Independent,,Incomplete,No,
533,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
534,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
535,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
536,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
537,No,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,
538,No,Complete,P,Incomplete,Dependent,Independent,Dependent,,Incomplete,No,
539,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
540,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
541,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
542,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
543,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
544,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
545,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
546,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
547,No,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,
548,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
549,No,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,
550,No,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,
551,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
552,No,Complete,P,Incomplete,Independent,Dependent,Independent,,Incomplete,No,
553,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
554,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
555,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
556,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
557,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
558,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
559,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
560,No,Complete,N,Complete,Dependent,Independent,Independent,,Incomplete,No,
561,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
562,No,Complete,P,Complete,Dependent,Independent,Independent,,Incomplete,No,
563,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
564,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
565,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
566,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
567,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
568,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
569,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
570,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
571,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
572,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
573,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
574,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
575,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
576,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
577,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
578,No,Complete,N,Incomplete,Dependent,Independent,Independent,,Incomplete,No,
579,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
580,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
581,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
582,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
583,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
584,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
585,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
586,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
587,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
588,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
589,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
590,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
591,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
592,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
593,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
594,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
595,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
596,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
597,No,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Incomplete,No,
598,No,Complete,N,Incomplete,Dependent,Independent,Independent,,Incomplete,No,
599,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
600,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
601,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
602,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
603,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
604,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
605,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
606,No,Incomplete,N,Complete,Dependent,Dependent,Independent,,Incomplete,No,
607,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
608,No,Complete,N,Complete,Dependent,Independent,Independent,,Incomplete,No,
609,No,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
610,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
611,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
612,No,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
613,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
614,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
615,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
616,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
617,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
618,No,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,No,
619,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
620,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
621,No,Complete,P,Complete,Dependent,Dependent,Independent,,Incomplete,No,
622,No,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,
623,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
624,No,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,
625,No,Complete,N,Complete,Dependent,Dependent,Independent,,Incomplete,No,
626,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
627,No,Complete,P,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,
628,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
629,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
630,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
631,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
632,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
633,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
634,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
635,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
636,No,Complete,P,Complete,Dependent,Dependent,Independent,,Incomplete,No,
637,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
638,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
639,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
640,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
641,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
642,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
643,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
644,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
645,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
646,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
647,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
648,No,Complete,Y,Incomplete,Independent,Independent,Dependent,,Incomplete,No,
649,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
650,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
651,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
652,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
653,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
654,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
655,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
656,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
657,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
658,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
659,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
660,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
661,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
662,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
