id,escalated_property,escalated_holistic,A_Sentential,A_Normative,A_Referential,A_Process,A_Data,A_Human,A_Atomicity,B_Sentential,B_Normative,B_Referential,B_Process,B_Data,B_Human,B_Atomicity,M_Sentential,M_Normative,M_Referential,M_Process,M_Data,M_Human,M_Atomicity,A3_Completeness,A3_SelfSufficiency,A3_Atomicity3,M3_Completeness,M3_SelfSufficiency,M3_Atomicity3,Ah_Verdict,Mh_Verdict,A1_verdict,A2_verdict,A3_verdict,A4_verdict,A3_check_failed,A3_check_failures,A4_check_failed,A4_check_failures
158,1,0,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Independent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Yes,Atomic,Incomplete,No,,No,No,No,No,No,No,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch,0,
159,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Dependent,Dependent,,Complete,Y,Complete,Independent,Dependent,Dependent,,Complete,No,,Complete,No,,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three
160,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Dependent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_three;three_vs_seven,0,
161,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
162,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
163,1,1,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven,1,holistic_vs_seven;holistic_vs_three
164,0,1,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,No,,Yes,No,Yes,Yes,Yes,Yes,0,,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch
165,1,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,completeness_mismatch;LT4_gate,0,
166,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
167,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
168,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
169,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
170,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
171,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
172,0,0,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
173,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
174,0,1,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,No,,No,No,Yes,Yes,Yes,Yes,1,holistic_vs_seven;three_vs_seven,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch
175,1,0,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,No,,Complete,No,,No,No,No,No,No,No,0,,0,
176,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
177,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
178,1,0,Complete,Y,Complete,Independent,Independent,Dependent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Dependent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,No,No,No,No,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch;LT4_gate,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch;LT4_gate
179,0,0,Complete,P,Complete,Independent,Independent,Independent,,Complete,P,Complete,Independent,Independent,Independent,,Complete,P,Complete,Independent,Independent,Independent,,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,No,No,No,No,1,holistic_vs_seven;three_vs_seven;completeness_mismatch,1,holistic_vs_seven;three_vs_seven;completeness_mismatch
180,0,0,Incomplete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,selfsuff_mismatch,1,selfsuff_mismatch
181,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Atomic,Complete,Yes,Atomic,No,No,No,No,No,No,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch
182,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Compound,Complete,Yes,Atomic,No,No,No,No,No,No,1,completeness_mismatch;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch
183,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
184,1,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,No,Yes,No,Yes,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch,0,
185,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Compound,Complete,Yes,Atomic,No,No,No,No,No,No,1,completeness_mismatch;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch
186,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
187,1,0,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,Y,Complete,Dependent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,1,completeness_mismatch
188,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Compound,No,No,Yes,Yes,Yes,Yes,1,holistic_vs_seven;three_vs_seven,1,holistic_vs_seven;three_vs_seven
189,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
190,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
191,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_three;three_vs_seven,0,
192,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
193,0,0,Complete,N,Complete,Independent,Independent,Independent,,Complete,N,Complete,Independent,Independent,Independent,,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,selfsuff_mismatch,1,selfsuff_mismatch
194,1,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three
195,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
196,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
197,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven,1,holistic_vs_seven;holistic_vs_three
198,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
199,1,1,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,No,No,No,No,No,No,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch;LT4_gate,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch;LT4_gate
200,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
201,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
202,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
203,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
204,1,0,Complete,P,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
205,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
206,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,No,,Complete,No,,No,No,Yes,No,Yes,No,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch,1,completeness_mismatch
207,1,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,Atomic,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,1,LT4_gate
208,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
209,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
210,1,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,No,No,No,No,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch
211,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,No,,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three
212,1,0,Complete,Y,Complete,Dependent,Dependent,Independent,Atomic,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,Atomic,Complete,No,,No,No,No,No,No,No,1,LT4_gate,0,
213,0,0,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
214,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
215,1,1,Complete,Compound,Complete,Independent,Independent,Dependent,Compound,Complete,Compound,Complete,Independent,Independent,Dependent,,Complete,Compound,Complete,Independent,Independent,Dependent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,No,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch;LT4_gate,1,selfsuff_mismatch;LT4_gate
216,1,0,Complete,Y,Complete,Dependent,Dependent,Independent,Atomic,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,LT4_gate,0,
217,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,No,,Complete,Yes,Compound,Yes,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven
218,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,No,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch,0,
219,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,No,Yes,No,0,,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch;LT4_gate
220,1,0,Complete,Compound,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three
221,0,0,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Yes,Atomic,Complete,Yes,Atomic,No,No,No,No,No,No,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch
222,1,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Atomic,Yes,Yes,No,Yes,No,Yes,1,holistic_vs_seven;holistic_vs_three,0,
223,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
224,1,1,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Atomic,Complete,Yes,Compound,No,Yes,No,No,No,No,1,holistic_vs_three;three_vs_seven,1,holistic_vs_seven;holistic_vs_three
225,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven,1,holistic_vs_seven;holistic_vs_three
226,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,No,Yes,No,0,,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch
227,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
228,1,0,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Complete,Dependent,Dependent,Independent,Atomic,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
229,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
230,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven,1,holistic_vs_seven;holistic_vs_three
231,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
232,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
233,0,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Compound,No,No,No,No,No,No,1,selfsuff_mismatch;LT4_gate,1,selfsuff_mismatch;LT4_gate
234,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Independent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
235,1,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Atomic,Complete,Yes,Atomic,No,No,No,No,No,No,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch
236,1,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
237,0,0,Complete,N,Complete,Independent,Independent,Independent,,Complete,N,Complete,Independent,Independent,Independent,,Complete,N,Complete,Independent,Independent,Independent,,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,No,No,No,No,1,holistic_vs_seven;three_vs_seven;completeness_mismatch,1,holistic_vs_seven;three_vs_seven;completeness_mismatch
238,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Incomplete,No,,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch,0,
239,1,0,Complete,Y,Complete,Independent,Dependent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,No,Yes,No,Yes,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch;LT4_gate,0,
240,0,1,Complete,Y,Complete,Independent,Dependent,Independent,Atomic,Complete,Y,Complete,Independent,Dependent,Independent,Atomic,Complete,Y,Complete,Independent,Dependent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Compound,No,Yes,No,No,No,No,1,selfsuff_mismatch;LT4_gate,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch;LT4_gate
241,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
242,1,0,Complete,Y,Complete,Dependent,Dependent,Independent,Atomic,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,completeness_mismatch;LT4_gate,0,
243,1,0,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
